frame.len,ip.hdr_len,ip.len,ip.ttl,ip.proto,tcp.len,tcp.seq,tcp.ack,tcp.hdr_len,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,tcp.time_delta,udp.length,udp.stream,icmp.type,icmp.seq,icmp.seq_le,icmp.resp_to,data.len,arp.hw.size,arp.proto.size,Status
5858,20,5844,64,6,5792,278314,1,32,1986182377,450367811,39096,118736,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,284106,1,32,1986182377,450367811,43440,123080,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,288450,1,32,1986182378,450367811,44888,124528,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,289898,1,32,1986182378,450367811,50680,130320,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,295690,1,32,1986182378,450367811,56472,136112,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,301482,1,32,1986182378,450367811,62264,141904,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,307274,1,32,1986182379,450367815,65160,144800,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,310170,32,450367823,1986182375,0,0,0.01,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,310170,1,32,1986182388,450367823,10136,154936,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,320306,1,32,1986182388,450367823,17376,162176,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,327546,1,32,1986182388,450367823,21720,166520,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,331890,1,32,1986182388,450367823,26064,170864,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,336234,1,32,1986182388,450367823,31856,176656,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,342026,1,32,1986182388,450367823,36200,181000,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,346370,1,32,1986182388,450367823,41992,186792,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,352162,1,32,1986182388,450367823,43440,188240,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,353610,1,32,1986182389,450367823,46336,191136,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,356506,1,32,1986182389,450367823,47784,1448,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,357954,1,32,1986182389,450367823,52128,5792,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,362298,1,32,1986182389,450367823,55024,8688,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,365194,1,32,1986182390,450367823,57920,11584,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,368090,1,32,1986182390,450367823,62264,15928,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,372434,1,32,1986182390,450367823,66608,20272,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,376778,1,32,1986182390,450367823,69504,23168,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,313066,32,450367834,1986182388,0,0,0.01,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,379674,1,32,1986182399,450367834,69504,26064,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,382570,32,450367840,1986182388,0,0,0.04,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,382570,1,32,1986182440,450367834,1448,27512,0,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,384018,1,32,1986182440,450367840,11584,37648,0,0,0,0,0,0,0,0,0,0,0
